Name,id,age,balance,grade
Dani Winslade,1,1,6158.45,3.91
Harris Mellmer,2,72,4080.35,2.83
Valeria Trotman,3,45,4457.89,1.48
Eilis Bengough,4,58,9663.74,0.06
Randall Alleway,5,61,3925.08,1.37
Barbi Ions,6,48,5587.58,0.14
Dana Anstice,7,96,5653.45,1.47
Brander Lampaert,8,47,6578.39,1.97
Conni Denkel,9,98,5196.91,2.89
Ugo Vinecombe,10,8,8415.99,1.77
Ki Ambrus,11,26,1987.57,0.26
Brock Brewitt,12,65,7174.01,2.41
Carlen Vereker,13,33,3239.49,1.97
Kaleb Craxford,14,32,8401.01,0.94
Goran Frawley,15,58,3824.22,0.03
Giraud Shyres,16,100,5101.5,1.28
Buckie Fairpool,17,75,9332.43,2.91
Frankie Pegrum,18,3,9231.99,1.71
Neale McLinden,19,40,7966.67,0.61
Dacie Cruden,20,91,5383.19,2.49
Nicky Borthwick,21,32,6384.49,2.48
Helaina Temprell,22,82,1696.71,2.61
Bryn Ragg,23,48,9517.27,3.86
Quill Cameli,24,20,8008.06,1.56
Darrelle Sedgemond,25,78,4626.7,2.58
Jo-ann Episcopio,26,4,4689.05,0.52
Skell Cotterrill,27,38,6600.87,2.19
Jorie Barrass,28,38,2688.29,1.38
Libbey Lamburn,29,40,5204.52,0.53
Letty Dicty,30,5,1807.12,2.72
Rufus Cullivan,31,72,3558.34,2.33
Idalia Letterese,32,4,2215.26,3.81
Hallsy Hearsum,33,50,3294.97,1.05
Alyda Duckinfield,34,79,8091.76,3.32
Monika Galpen,35,14,8879.18,3.45
Rustie Keward,36,85,9928.73,2.19
Giustino Craisford,37,76,9643.11,3.02
Kelci Gunton,38,59,5899.55,3.67
Edyth Hackney,39,89,4031.36,1.58
Reamonn Beyer,40,30,5480.24,3.4
Dov Caffin,41,89,4977.92,1.83
Jonas Petigrew,42,75,214.02,1.82
Camel Grouen,43,54,8601.63,3.52
Reinold Moens,44,52,4614.77,2.01
Ashlan Flatte,45,63,124.17,2.59
Dosi Acreman,46,97,6561.68,1.04
Andeee Bruckmann,47,48,8129.93,2.51
Henrik Binley,48,67,9623.66,0.37
Clayborne Petrosian,49,97,4424.31,2.32
Nicholle Westberg,50,64,3896.86,2.19
Emma Whitby,51,88,3915.61,2.06
Birgitta Scrivner,52,78,3133.98,1.29
Thomasin Darrow,53,91,8430.51,3.52
Luz Lavigne,54,61,2729.87,1.62
Nikki Dykes,55,81,2323.71,3.14
Brynna Havercroft,56,81,5121.82,2.1
Deborah Drable,57,67,6562.38,2.7
Britt Muzzullo,58,62,2485.14,3.52
Jeniffer Kinnear,59,6,6735.04,0.73
Tarrah Hebditch,60,50,2370.54,1.57
Darill Medd,61,94,5750.83,0.29
Evyn Dog,62,78,1773.4,0.72
Reginald Glazzard,63,14,376.84,2.35
Fulton Daniells,64,12,1410.2,0.25
Jammie Eldritt,65,100,1916.7,0.43
Marty Levesley,66,9,5484.57,0.16
Meridith Crippin,67,54,2984.32,0.34
Caryn Stribbling,68,53,9071.08,2.5
Lenora Woollends,69,36,4856.7,1.1
Sharona Westmorland,70,79,917.94,3.54
Winnifred Rasell,71,64,1026.49,1.17
Jasen Raybould,72,22,4840.7,3.46
Obed Dawidowitsch,73,30,1289.85,0.26
Herbie Dy,74,81,9194.43,0.41
Indira Fairfoull,75,13,9225.3,1.3
Chiquia Filgate,76,63,1812.34,1.59
Doralyn Roylance,77,100,770.47,2.64
Lorinda Brimm,78,75,7430.15,3.93
Catharine Sailor,79,40,9123.27,3.79
Wyn Hacker,80,16,4498.65,0.93
Lettie Cranston,81,77,963.57,2.64
Prudy Rollings,82,1,4922.21,3.13
Carlen Foch,83,47,3313.88,0.89
Bernard Beels,84,30,4184.25,3.36
Odella Andrich,85,63,7839.73,1.89
Randall Droghan,86,15,5852.63,2.82
Milty Djakovic,87,42,2335.43,0.82
Gavrielle Dewfall,88,58,6013.65,0.12
Daryn Chrystal,89,19,5410.91,2.99
Reggis Gagin,90,92,3307.59,0.36
Giles Ziem,91,89,7333.87,0.9
Drona Becke,92,38,5554.34,2.92
Marijn Ramelet,93,32,6442.06,2.28
Katherine Haryngton,94,22,9700.19,1.98
Mildrid Di Giacomo,95,36,3097.91,3.56
Gayle Templar,96,66,3419.9,0.02
Sterling FitzAlan,97,9,2680.39,1.4
Janeta Harry,98,13,2810.18,3.79
Sophronia Adney,99,67,162.79,3.88
Rubia Hoston,100,12,6858.2,1.81
Sol Cornbell,101,54,1089.16,3.8
Antonino Thickpenny,102,42,1383.02,0.25
Crichton Dike,103,54,954.89,2.09
Alexi Deeson,104,47,2655.91,3.44
Sonnie Tomaskov,105,41,2808.6,3.18
Wilmette Walster,106,51,5486.86,2.73
Pennie Coldridge,107,8,4993.87,0.18
Brad Narducci,108,69,2191.17,0.57
Stanly Perceval,109,67,3934.33,2.92
Isacco Conre,110,81,3197.33,1.15
Purcell Weatherhill,111,62,4569.73,2.26
Bride Paslow,112,76,3407.46,2.18
Templeton Pires,113,72,7676.64,0.7
Brody Varndall,114,71,6687.19,0.47
